"12ez -- 2. Educational structure, 2010-2024"

"Postal code area","Academic degree - Higher university level degree (KO) 2020","Academic degree - Higher university level degree (KO) 2021","Academic degree - Higher university level degree (KO) 2022","Academic degree - Higher university level degree (KO) 2023","Academic degree - Higher university level degree (KO) 2024"
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)",6023,5949,5977,6225,6422
"00120  Punavuori - Bulevardi (Helsinki)",2275,2259,2268,2333,2381
"00130  Kaartinkaupunki (Helsinki)",571,563,566,590,614
"00140  Kaivopuisto - Ullanlinna (Helsinki)",2595,2515,2503,2572,2628
"00150  Punavuori - Eira - Hernesaari (Helsinki)",2857,2849,2811,2969,3067
"00160  Katajanokka (Helsinki)",1503,1450,1520,1527,1587
"00170  Kruununhaka (Helsinki)",2496,2439,2491,2588,2625
"00180  Kamppi - Ruoholahti (Helsinki)",3486,3381,3334,3508,3633
"00190  Suomenlinna (Helsinki)",153,155,156,162,175
"00200  Pohjois-Lauttasaari (Helsinki)",5022,5054,5109,5256,5499
"00210  Vattuniemi (Helsinki)",2817,2854,2862,2978,3056
"00220  Jätkäsaari (Helsinki)",1992,2213,2292,2538,2585
"00230  Helsinki postikeskus (Helsinki)",0,0,0,0,0
"00240  Länsi-Pasila (Helsinki)",1188,1340,1577,1950,2086
"00250  Taka-Töölö (Helsinki)",3345,3266,3248,3376,3477
"00260  Keski-Töölö (Helsinki)",1693,1688,1813,1839,1933
"00270  Pohjois-Meilahti (Helsinki)",1999,1974,1997,2064,2106
"00280  Ruskeasuo (Helsinki)",775,778,784,809,876
"00290  Meilahden sairaala-alue (Helsinki)",43,40,38,38,40
"00300  Pikku Huopalahti (Helsinki)",1074,1025,1059,1066,1072
"00310  Kivihaka (Helsinki)",221,210,200,203,221
"00320  Etelä-Haaga (Helsinki)",2779,2876,2887,2976,3113
"00330  Munkkiniemi (Helsinki)",2934,2987,3063,3133,3157
"00340  Kuusisaari - Lehtisaari (Helsinki)",593,599,619,656,679
"00350  Munkkivuori - Niemenmäki (Helsinki)",2111,2206,2173,2248,2378
"00360  Pajamäki (Helsinki)",398,396,410,428,446
"00370  Reimarla (Helsinki)",1050,1079,1084,1158,1172
"00380  Pitäjänmäen yritysalue (Helsinki)",761,781,785,800,812
"00390  Konala (Helsinki)",839,890,896,913,942
"00400  Pohjois-Haaga (Helsinki)",1796,1798,1697,1752,1777
