"12ez -- 2. Educational structure, 2010-2024"

"Postal code area","2020 Aged 18 or over, total (KO)","2021 Aged 18 or over, total (KO)","2022 Aged 18 or over, total (KO)","2023 Aged 18 or over, total (KO)","2024 Aged 18 or over, total (KO)"
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)",16236,15817,15997,16365,16397
"00120  Punavuori - Bulevardi (Helsinki)",6221,6214,6209,6219,6317
"00130  Kaartinkaupunki (Helsinki)",1501,1480,1484,1467,1496
"00140  Kaivopuisto - Ullanlinna (Helsinki)",6872,6740,6674,6590,6712
"00150  Punavuori - Eira - Hernesaari (Helsinki)",8322,8269,8162,8402,8550
"00160  Katajanokka (Helsinki)",4198,4165,4320,4324,4397
"00170  Kruununhaka (Helsinki)",6272,6239,6267,6369,6370
"00180  Kamppi - Ruoholahti (Helsinki)",12743,12393,12418,12368,12665
"00190  Suomenlinna (Helsinki)",516,491,483,487,498
"00200  Pohjois-Lauttasaari (Helsinki)",13318,13188,13173,13180,13382
"00210  Vattuniemi (Helsinki)",7278,7231,7248,7326,7507
"00220  Jätkäsaari (Helsinki)",6999,8041,8404,8897,9035
"00230  Helsinki postikeskus (Helsinki)",0,0,0,0,0
"00240  Länsi-Pasila (Helsinki)",5008,5708,6636,7622,8571
"00250  Taka-Töölö (Helsinki)",9944,9751,9889,10076,10198
"00260  Keski-Töölö (Helsinki)",4983,4955,5049,5120,5234
"00270  Pohjois-Meilahti (Helsinki)",6465,6344,6260,6207,6164
"00280  Ruskeasuo (Helsinki)",2518,2536,2451,2490,2721
"00290  Meilahden sairaala-alue (Helsinki)",125,119,117,133,137
"00300  Pikku Huopalahti (Helsinki)",4529,4445,4369,4453,4513
"00310  Kivihaka (Helsinki)",806,771,689,673,779
"00320  Etelä-Haaga (Helsinki)",9048,9201,9178,9220,9434
"00330  Munkkiniemi (Helsinki)",7721,7667,7688,7697,7703
"00340  Kuusisaari - Lehtisaari (Helsinki)",1423,1407,1450,1582,1637
"00350  Munkkivuori - Niemenmäki (Helsinki)",7820,7995,7860,8073,8323
"00360  Pajamäki (Helsinki)",1623,1583,1598,1581,1612
"00370  Reimarla (Helsinki)",5171,5085,5210,5509,5493
"00380  Pitäjänmäen yritysalue (Helsinki)",3887,3966,4098,4071,4042
"00390  Konala (Helsinki)",5250,5389,5354,5393,5392
"00400  Pohjois-Haaga (Helsinki)",8322,8153,7890,8003,7933
"00410  Malminkartano (Helsinki)",7489,7616,7771,7929,8070
"00420  Kannelmäki (Helsinki)",11433,11317,11471,11662,11648
"00430  Maununneva - Kuninkaantammi (Helsinki)",5948,6036,6054,6163,6592
"00440  Lassila (Helsinki)",4034,4009,4019,4004,4036
"00500  Sörnäinen - Harju (Helsinki)",11498,11138,11032,11143,11240
"00510  Alppila - Vallila (Helsinki)",9006,8792,8718,8677,8656
"00520  Itä- ja Keski-Pasila (Helsinki)",6956,7096,7348,7500,7612
"00530  Kallio (Helsinki)",17025,16730,16651,16746,16784
"00540  Kalasatama - Sompasaari (Helsinki)",3776,4325,4463,4711,5291
"00550  Vallila - Hermanni (Helsinki)",7971,7992,8156,8124,7817
"00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)",11355,11315,11366,11171,11245
"00570  Kulosaari (Helsinki)",3266,3181,3183,3275,3304
"00580  Kalasatama - Kyläsaari (Helsinki)",4070,4960,6052,6248,7062
"00590  Kruunuvuorenranta (Helsinki)",2643,3187,3395,3782,3919
"00600  Koskela (Helsinki)",3321,3783,3872,4331,3896
"00610  Käpylä (Helsinki)",6688,6565,6513,6658,6649
"00620  Metsälä - Etelä-Oulunkylä (Helsinki)",2707,2748,2771,2785,2818
"00630  Maunula (Helsinki)",6997,6748,6660,6813,7068
"00640  Oulunkylä - Patola (Helsinki)",6930,6853,6774,6913,7147
"00650  Veräjämäki (Helsinki)",3150,3172,3426,3911,4111
"00660  Länsi-Pakila (Helsinki)",5140,5143,5116,5189,5362
"00670  Paloheinä (Helsinki)",4448,4434,4432,4437,4434
"00680  Itä-Pakila (Helsinki)",2754,2719,2726,2690,2678
"00690  Torpparinmäki (Helsinki)",2086,2051,2045,2038,2045
"00700  Malmi (Helsinki)",11080,11141,11227,11477,11767
"00710  Pihlajamäki - Viikinmäki (Helsinki)",10267,10119,10409,10738,10869
"00720  Pukinmäki (Helsinki)",7444,7389,7262,7300,7439
"00730  Tapanila (Helsinki)",8718,8619,8900,9193,9142
"00740  Siltamäki (Helsinki)",8145,8044,8093,8170,8263
"00750  Tapulikaupunki (Helsinki)",7546,7412,7402,7478,7416
"00760  Puistola - Heikinlaakso (Helsinki)",5781,5726,5680,5676,5723
"00770  Jakomäki - Alppikylä (Helsinki)",5963,5854,5700,5788,5799
"00780  Tapaninvainio (Helsinki)",5640,5543,5535,5728,5668
"00790  Viikki (Helsinki)",8193,8064,8083,8044,8187
"00800  Länsi-Herttoniemi (Helsinki)",6142,6409,6375,6664,6777
"00810  Herttoniemenranta (Helsinki)",9951,9897,9850,9584,9674
"00820  Roihuvuori (Helsinki)",6753,6511,6421,6557,6483
"00830  Tammisalo (Helsinki)",1782,1777,1717,1749,1755
"00840  Yliskylä (Helsinki)",7018,7165,7229,7207,7224
"00850  Jollas (Helsinki)",2289,2218,2298,2278,2307
"00860  Santahamina (Helsinki)",266,237,232,232,219
"00870  Gunillanmäki - Hevossalmi (Helsinki)",4892,4786,4827,4891,5159
"00880  Keski-Herttoniemi - Roihupelto (Helsinki)",694,1011,1212,1356,1660
"00890  Östersundom (Helsinki)",1411,1421,1426,1396,1422
"00900  Puotinharju (Helsinki)",3551,3487,3470,3402,3522
"00910  Puotila (Helsinki)",4870,4855,5015,5040,5207
"00920  Myllypuro (Helsinki)",10950,11084,11137,11120,10829
"00930  Itäkeskus - Marjaniemi (Helsinki)",5301,5267,5326,5895,5898
"00940  Kontula - Vesala - Kivikko (Helsinki)",20885,20968,20958,21108,21219
"00950  Vartioharju (Helsinki)",5023,5026,5072,5324,5343
"00960  Pohjois-Vuosaari (Helsinki)",5995,5987,5888,5824,5710
"00970  Mellunmäki (Helsinki)",8852,8955,8961,8947,8881
"00980  Etelä-Vuosaari (Helsinki)",18223,18144,18207,18117,18265
"00990  Aurinkolahti (Helsinki)",7005,7032,7216,7694,8057
"01120  Västerskog (Sipoo)",1104,1148,1166,1143,1137
"01150  Söderkulla (Sipoo)",4854,5054,5173,5481,5694
"01180  Kalkkiranta (Sipoo)",382,407,406,414,406
"01190  Box (Sipoo)",789,807,809,806,799
"01200  Hakunila (Vantaa)",9930,9906,9924,10351,10420
"01230  Vaarala (Vantaa)",2409,2416,2491,2490,2507
"01260  Itä-Hakkila (Vantaa)",3647,3645,3631,3672,3656
"01280  Länsimäki (Vantaa)",7902,7883,8005,7987,7936
"01300  Tikkurila (Vantaa)",18803,19339,19944,20603,21142
"01340  Leinelä (Vantaa)",1968,2013,2136,2112,2118
"01350  Hiekkaharju (Vantaa)",8250,8243,8273,8343,8392
"01360  Koivukylä-Havukoski (Vantaa)",9994,9993,10196,10326,10394
"01370  Jokiniemi (Vantaa)",5509,5711,5721,5701,5799
"01380  Kuusikko-Hakkila (Vantaa)",1486,1493,1502,1544,1561
"01390  Ruskeasanta-Ilola (Vantaa)",6872,6895,7030,7074,7011
"01400  Rekola (Vantaa)",7240,7461,7772,7852,7894
"01420  Päiväkumpu (Vantaa)",2353,2339,2329,2354,2377
"01450  Korso (Vantaa)",14326,14422,14448,14413,14527
"01480  Mikkola (Vantaa)",5061,5097,5086,5081,5150
"01490  Nikinmäki (Vantaa)",3184,3265,3314,3314,3347
"01510  Kirkonkylä-Veromäki (Vantaa)",5160,5547,5988,6013,6131
"01520  Tammisto (Vantaa)",5578,5588,5569,5636,5747
"01530  Veromiehenkylä (Vantaa)",585,572,631,639,795
"01600  Myyrmäki (Vantaa)",14390,14361,14784,15427,15985
"01610  Kaivoksela (Vantaa)",5052,4950,4927,5077,5060
"01620  Martinlaakso (Vantaa)",10779,10807,11063,11440,11571
"01630  Hämeenkylä (Vantaa)",1631,1645,1622,1607,1625
"01640  Hämevaara (Vantaa)",2864,2837,2853,2855,2894
"01650  Vapaala (Vantaa)",3274,3268,3208,3243,3270
"01660  Varisto (Vantaa)",1756,1763,1780,1774,1791
"01670  Vantaanlaakso (Vantaa)",2253,2210,2241,2265,2283
"01680  Askisto (Vantaa)",1521,1549,1570,1587,1591
"01690  Ylästö (Vantaa)",3427,3489,3581,3766,3890
"01700  Kivistö (Vantaa)",9166,9528,9707,10370,10883
"01710  Pähkinärinne (Vantaa)",4221,4161,4219,4253,4499
"01720  Petikko (Vantaa)",58,57,53,51,45
"01730  Vantaanpuisto (Vantaa)",1981,2012,2034,2037,2064
"01740  Tuupakan teollisuusalue (Vantaa)",151,148,140,142,141
"01750  Keimola (Vantaa)",636,637,645,639,636
"01760  Seutula (Vantaa)",1575,1604,1598,1583,1585
"01770  Martinlaakson teollisuusalue (Vantaa)",0,0,0,0,0
"01800  Klaukkala Keskus (Nurmijärvi)",7775,8004,8255,8505,8791
"01810  Luhtajoki (Nurmijärvi)",504,512,502,511,518
"01820  Haikala (Nurmijärvi)",2413,2416,2416,2401,2391
"01830  Lepsämä (Nurmijärvi)",1736,1730,1753,1780,1788
"01840  Klaukkala (Nurmijärvi)",2850,2873,2858,2893,2909
"01860  Perttula (Nurmijärvi)",1494,1513,1506,1504,1512
"01900  Nurmijärvi Keskus (Nurmijärvi)",7299,7417,7466,7417,7404
"01940  Palojoki (Nurmijärvi)",595,596,601,596,607
"02100  Tapiola (Espoo)",4939,5291,5483,5939,6139
"02110  Otsolahti (Espoo)",2367,2361,2307,2348,2376
"02120  Länsikorkee-Suvikumpu (Espoo)",2505,2509,2485,2577,2578
"02130  Pohjois-Tapiola (Espoo)",4862,5079,5089,5167,5178
"02140  Laajalahti (Espoo)",2688,2725,2739,2761,2799
"02150  Otaniemi (Espoo)",4071,4212,4304,4427,4528
"02160  Westend (Espoo)",2433,2501,2518,2585,2567
"02170  Haukilahti (Espoo)",4598,4559,4486,4660,4735
"02180  Mankkaa (Espoo)",5492,5496,5513,5561,5547
"02200  Niittykumpu (Espoo)",8449,9071,10345,11304,12127
"02210  Olari (Espoo)",9670,9497,9478,10195,10389
"02230  Matinkylä (Espoo)",17721,17675,18162,18465,18611
"02240  Friisilä (Espoo)",1737,1763,1881,2112,2145
"02250  Henttaa (Espoo)",3789,4264,4846,5006,5682
"02260  Kaitaa (Espoo)",2750,2767,2692,2879,2906
"02270  Finnoo-Eestinmalmi (Espoo)",1635,1706,2136,2557,3717
"02280  Malminmäki-Eestinlaakso (Espoo)",3427,3473,3525,3647,3637
"02300  Nöykkiönpuro (Espoo)",1853,1875,1897,1877,1900
"02320  Espoonlahti (Espoo)",13427,13505,13913,14411,14464
"02330  Saunalahti-Kattilalaakso (Espoo)",8372,8700,9058,9245,9375
"02340  Latokaski (Espoo)",3461,3436,3426,3536,3544
"02360  Soukka (Espoo)",7729,7746,7660,7792,7877
"02380  Suvisaaristo (Espoo)",508,507,511,519,516
"02390  Sarvvik (Kirkkonummi)",613,814,954,1015,1142
"02400  Kirkkonummi Keskus (Kirkkonummi)",10007,10012,9984,10108,10080
"02410  Gesterby (Kirkkonummi)",1615,1682,1674,1678,1664
"02420  Jorvas (Kirkkonummi)",1403,1383,1371,1377,1393
"02430  Masala (Kirkkonummi)",3467,3484,3721,3861,4158
"02440  Luoma (Kirkkonummi)",488,496,485,484,465
"02450  Sundsberg (Kirkkonummi)",1357,1470,1516,1642,1672
"02460  Kantvik (Kirkkonummi)",1485,1490,1505,1503,1496
"02470  Upinniemi (Kirkkonummi)",251,253,242,245,223
"02480  Porkkala (Kirkkonummi)",3401,3537,3546,3536,3572
"02490  Pikkala (Siuntio)",251,246,232,232,230
"02510  Oitmäki (Kirkkonummi)",373,370,369,369,372
"02520  Lapinkylä (Kirkkonummi)",633,616,630,617,631
"02540  Kylmälä (Kirkkonummi)",482,492,480,494,500
"02550  Evitskog (Kirkkonummi)",657,674,671,693,693
"02570  Siuntio Kirkonkylä (Siuntio)",1047,1040,1027,1014,1039
"02580  Siuntio Asemanseutu (Siuntio)",2617,2694,2758,2747,2791
"02590  Lappers (Siuntio)",195,186,182,189,185
"02600  Etelä-Leppävaara (Espoo)",11622,12258,13175,13593,14238
"02610  Kilo (Espoo)",4975,5145,5284,5275,5342
"02620  Karakallio (Espoo)",6221,6274,6496,6528,6714
"02630  Nihtisilta (Espoo)",2602,2540,2641,2884,3216
"02650  Pohjois-Leppävaara (Espoo)",9014,9303,9636,9881,10081
"02660  Lintuvaara (Espoo)",4480,4555,4569,4634,4722
"02680  Uusmäki (Espoo)",2440,2548,2685,2722,2711
"02700  Kauniainen (Kauniainen)",7768,7951,7855,7873,7870
"02710  Viherlaakso (Espoo)",4797,4942,4996,5015,4993
"02720  Lähderanta (Espoo)",2314,2296,2263,2292,2291
"02730  Jupperi (Espoo)",3429,3454,3515,3539,3517
"02740  Bemböle-Pakankylä (Espoo)",2329,2340,2349,2381,2371
