"12f4 -- 6. Buildings and dwellings, 2010-2024"

"Postal code area","2020 Average floor area per dwelling (RA)","2021 Average floor area per dwelling (RA)","2022 Average floor area per dwelling (RA)","2023 Average floor area per dwelling (RA)","2024 Average floor area per dwelling (RA)"
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)",65.8,65.8,65.7,65.6,65.7
"00120  Punavuori - Bulevardi (Helsinki)",69.5,69.6,69.8,70.0,70.0
"00130  Kaartinkaupunki (Helsinki)",78.5,78.4,79.3,80.2,81.0
"00140  Kaivopuisto - Ullanlinna (Helsinki)",74.1,74.1,74.4,74.2,74.4
"00150  Punavuori - Eira - Hernesaari (Helsinki)",55.9,55.9,56.2,56.6,56.7
"00160  Katajanokka (Helsinki)",77.3,77.0,76.3,75.0,75.1
"00170  Kruununhaka (Helsinki)",68.8,68.7,68.7,68.8,68.9
"00180  Kamppi - Ruoholahti (Helsinki)",59.2,59.2,59.2,59.2,58.8
"00190  Suomenlinna (Helsinki)",68.8,70.0,70.5,69.7,69.5
"00200  Pohjois-Lauttasaari (Helsinki)",60.2,60.2,60.3,60.4,60.4
"00210  Vattuniemi (Helsinki)",69.6,69.6,69.0,69.0,68.9
"00220  Jätkäsaari (Helsinki)",55.8,55.8,56.1,56.1,56.2
"00230  Helsinki postikeskus (Helsinki)",0.0,0.0,0.0,0.0,0.0
"00240  Länsi-Pasila (Helsinki)",60.4,58.6,57.9,57.6,57.3
"00250  Taka-Töölö (Helsinki)",53.8,53.8,53.6,53.9,53.9
"00260  Keski-Töölö (Helsinki)",62.2,62.5,63.4,63.3,63.3
"00270  Pohjois-Meilahti (Helsinki)",53.4,53.3,53.3,53.3,53.4
"00280  Ruskeasuo (Helsinki)",54.0,54.2,54.2,54.0,53.5
"00290  Meilahden sairaala-alue (Helsinki)",43.9,44.1,43.9,44.0,44.1
"00300  Pikku Huopalahti (Helsinki)",62.7,62.9,63.0,63.0,63.0
"00310  Kivihaka (Helsinki)",51.2,51.2,51.2,51.2,51.3
"00320  Etelä-Haaga (Helsinki)",49.9,49.8,50.0,50.0,50.2
"00330  Munkkiniemi (Helsinki)",70.2,70.2,70.5,70.4,70.6
"00340  Kuusisaari - Lehtisaari (Helsinki)",123.5,124.3,125.3,117.5,117.3
"00350  Munkkivuori - Niemenmäki (Helsinki)",54.5,54.0,54.0,53.8,53.8
"00360  Pajamäki (Helsinki)",49.9,49.9,50.0,50.0,49.9
"00370  Reimarla (Helsinki)",65.9,65.7,64.7,64.4,64.4
"00380  Pitäjänmäen yritysalue (Helsinki)",59.2,58.8,58.4,58.4,58.3
"00390  Konala (Helsinki)",63.1,62.7,62.8,62.9,63.0
"00400  Pohjois-Haaga (Helsinki)",52.5,52.4,52.4,52.4,52.4
"00410  Malminkartano (Helsinki)",62.9,63.1,63.2,62.9,63.5
"00420  Kannelmäki (Helsinki)",59.1,59.1,58.9,58.8,58.9
"00430  Maununneva - Kuninkaantammi (Helsinki)",77.6,77.0,77.3,76.6,75.6
"00440  Lassila (Helsinki)",57.2,57.0,57.0,57.0,56.9
"00500  Sörnäinen - Harju (Helsinki)",39.4,39.4,39.4,39.4,39.4
"00510  Alppila - Vallila (Helsinki)",41.9,41.7,41.8,41.7,41.8
"00520  Itä- ja Keski-Pasila (Helsinki)",53.9,53.6,53.5,53.3,53.2
"00530  Kallio (Helsinki)",45.4,45.4,45.4,45.5,45.6
"00540  Kalasatama - Sompasaari (Helsinki)",61.1,59.9,59.9,58.9,59.8
"00550  Vallila - Hermanni (Helsinki)",45.9,45.4,45.5,45.7,45.9
"00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)",60.2,60.2,60.1,60.0,60.0
"00570  Kulosaari (Helsinki)",87.7,89.3,89.2,87.6,87.8
"00580  Kalasatama - Kyläsaari (Helsinki)",55.3,54.3,53.3,53.4,52.6
"00590  Kruunuvuorenranta (Helsinki)",63.8,63.4,62.5,62.6,62.5
"00600  Koskela (Helsinki)",63.3,61.2,61.4,60.9,60.6
"00610  Käpylä (Helsinki)",56.1,56.3,56.4,56.0,56.1
"00620  Metsälä - Etelä-Oulunkylä (Helsinki)",78.8,79.2,79.4,79.7,79.8
"00630  Maunula (Helsinki)",59.8,59.9,59.8,59.7,59.6
"00640  Oulunkylä - Patola (Helsinki)",67.7,67.7,67.6,67.4,67.0
"00650  Veräjämäki (Helsinki)",75.2,76.0,73.4,69.9,69.4
"00660  Länsi-Pakila (Helsinki)",96.7,96.4,96.4,94.7,95.1
"00670  Paloheinä (Helsinki)",100.3,99.8,99.8,99.8,100.5
