"12f3 -- 5. Households' disposable monetary income, 2010-2024"

"Postal code area","2020 Average income of households (TR)","2021 Average income of households (TR)","2022 Average income of households (TR)","2023 Average income of households (TR)","2024 Average income of households (TR)"
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)",70284,73553,70016,70761,73915
"00120  Punavuori - Bulevardi (Helsinki)",74856,79394,86451,85358,90428
"00130  Kaartinkaupunki (Helsinki)",101682,135005,124814,116117,118889
"00140  Kaivopuisto - Ullanlinna (Helsinki)",92033,105562,117199,112193,113494
"00150  Punavuori - Eira - Hernesaari (Helsinki)",59378,67705,69063,68809,70989
"00160  Katajanokka (Helsinki)",80558,83077,86807,82467,84296
"00170  Kruununhaka (Helsinki)",64977,74929,72485,73630,79311
"00180  Kamppi - Ruoholahti (Helsinki)",52393,55269,59495,58313,59119
"00190  Suomenlinna (Helsinki)",53948,56573,55608,57592,58487
"00200  Pohjois-Lauttasaari (Helsinki)",55871,61019,61773,64230,66541
"00210  Vattuniemi (Helsinki)",68060,76020,82123,73950,78373
"00220  Jätkäsaari (Helsinki)",47964,51174,51453,53267,55110
"00230  Helsinki postikeskus (Helsinki)",0,0,0,0,0
"00240  Länsi-Pasila (Helsinki)",43196,43884,44475,46944,48316
"00250  Taka-Töölö (Helsinki)",48098,49152,51586,52274,54876
"00260  Keski-Töölö (Helsinki)",65576,64645,75681,77747,83378
"00270  Pohjois-Meilahti (Helsinki)",44328,45261,46426,47759,49640
"00280  Ruskeasuo (Helsinki)",43988,45130,47106,48295,49059
"00290  Meilahden sairaala-alue (Helsinki)",55923,60003,62559,107869,62744
"00300  Pikku Huopalahti (Helsinki)",43597,44353,48059,46685,48460
"00310  Kivihaka (Helsinki)",39181,42141,43104,44626,43921
"00320  Etelä-Haaga (Helsinki)",40352,42644,44536,44719,46996
"00330  Munkkiniemi (Helsinki)",67187,69878,79795,75585,79083
"00340  Kuusisaari - Lehtisaari (Helsinki)",130960,143638,156196,144815,152039
"00350  Munkkivuori - Niemenmäki (Helsinki)",42400,43788,44972,46411,48054
"00360  Pajamäki (Helsinki)",36605,37903,39337,40779,42944
"00370  Reimarla (Helsinki)",44980,50277,49352,50657,57037
"00380  Pitäjänmäen yritysalue (Helsinki)",42473,45066,44452,46478,47297
"00390  Konala (Helsinki)",43702,47243,45955,46564,49710
"00400  Pohjois-Haaga (Helsinki)",36365,37838,38859,40272,42104
"00410  Malminkartano (Helsinki)",37787,39485,40229,41759,43398
"00420  Kannelmäki (Helsinki)",36109,37386,38276,39693,41163
"00430  Maununneva - Kuninkaantammi (Helsinki)",53950,56357,58221,60200,61211
"00440  Lassila (Helsinki)",38462,39727,39702,41193,42630
"00500  Sörnäinen - Harju (Helsinki)",33759,36049,35643,36004,37329
