"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 Average size of households (TE)","2021 Average size of households (TE)","2022 Average size of households (TE)","2023 Average size of households (TE)","2024 Average size of households (TE)"
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)",1.7,1.7,1.7,1.7,1.7
"00120  Punavuori - Bulevardi (Helsinki)",1.8,1.8,1.8,1.8,1.8
"00130  Kaartinkaupunki (Helsinki)",1.8,1.8,1.9,1.8,1.8
"00140  Kaivopuisto - Ullanlinna (Helsinki)",1.8,1.8,1.8,1.7,1.7
"00150  Punavuori - Eira - Hernesaari (Helsinki)",1.6,1.6,1.6,1.6,1.6
"00160  Katajanokka (Helsinki)",1.9,1.9,1.9,1.9,1.9
"00170  Kruununhaka (Helsinki)",1.8,1.8,1.8,1.8,1.8
"00180  Kamppi - Ruoholahti (Helsinki)",1.8,1.8,1.8,1.8,1.8
"00190  Suomenlinna (Helsinki)",2.4,2.5,2.4,2.3,2.3
"00200  Pohjois-Lauttasaari (Helsinki)",1.8,1.8,1.8,1.8,1.8
"00210  Vattuniemi (Helsinki)",1.9,1.9,1.9,1.9,1.9
"00220  Jätkäsaari (Helsinki)",1.9,1.9,1.9,1.9,1.9
"00230  Helsinki postikeskus (Helsinki)",0.0,0.0,0.0,0.0,0.0
"00240  Länsi-Pasila (Helsinki)",1.8,1.8,1.7,1.8,1.8
"00250  Taka-Töölö (Helsinki)",1.6,1.6,1.6,1.6,1.6
"00260  Keski-Töölö (Helsinki)",1.7,1.7,1.7,1.7,1.7
"00270  Pohjois-Meilahti (Helsinki)",1.7,1.7,1.6,1.6,1.6
"00280  Ruskeasuo (Helsinki)",1.7,1.7,1.7,1.7,1.7
"00290  Meilahden sairaala-alue (Helsinki)",1.5,1.5,1.5,1.6,1.5
"00300  Pikku Huopalahti (Helsinki)",1.9,1.9,1.9,1.9,1.9
"00310  Kivihaka (Helsinki)",1.6,1.6,1.6,1.6,1.6
