"12f4 -- 6. Buildings and dwellings, 2010-2024"

"Postal code area","2020 Dwellings in blocks of flats (RA)","2021 Dwellings in blocks of flats (RA)","2022 Dwellings in blocks of flats (RA)","2023 Dwellings in blocks of flats (RA)","2024 Dwellings in blocks of flats (RA)"
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)",11721,11663,11719,11819,11869
"00120  Punavuori - Bulevardi (Helsinki)",4492,4533,4591,4684,4700
"00130  Kaartinkaupunki (Helsinki)",1000,1015,999,1005,1053
"00140  Kaivopuisto - Ullanlinna (Helsinki)",5358,5352,5353,5356,5349
"00150  Punavuori - Eira - Hernesaari (Helsinki)",6616,6643,6688,6874,6876
"00160  Katajanokka (Helsinki)",2872,2879,3027,3051,3068
"00170  Kruununhaka (Helsinki)",4589,4536,4569,4582,4591
"00180  Kamppi - Ruoholahti (Helsinki)",9059,9063,9031,9098,9351
"00190  Suomenlinna (Helsinki)",306,305,307,296,294
"00200  Pohjois-Lauttasaari (Helsinki)",8927,8922,8931,9035,9050
"00210  Vattuniemi (Helsinki)",4909,4922,4986,4992,5097
"00220  Jätkäsaari (Helsinki)",4778,5673,5886,6340,6371
"00230  Helsinki postikeskus (Helsinki)",0,0,0,0,0
"00240  Länsi-Pasila (Helsinki)",3462,4074,4799,5819,6288
"00250  Taka-Töölö (Helsinki)",7601,7616,7689,7850,7869
"00260  Keski-Töölö (Helsinki)",3718,3799,3937,3939,4073
"00270  Pohjois-Meilahti (Helsinki)",4873,4862,4861,4862,4870
"00280  Ruskeasuo (Helsinki)",1676,1673,1683,1736,1811
"00290  Meilahden sairaala-alue (Helsinki)",113,113,108,111,113
"00300  Pikku Huopalahti (Helsinki)",2977,2966,2999,3008,3014
"00310  Kivihaka (Helsinki)",610,610,604,602,599
"00320  Etelä-Haaga (Helsinki)",6698,6871,6867,7007,7143
"00330  Munkkiniemi (Helsinki)",5333,5366,5397,5417,5420
"00340  Kuusisaari - Lehtisaari (Helsinki)",465,463,460,568,567
"00350  Munkkivuori - Niemenmäki (Helsinki)",5658,5877,5867,6096,6172
"00360  Pajamäki (Helsinki)",1228,1220,1221,1223,1225
"00370  Reimarla (Helsinki)",2695,2718,2830,2862,2880
"00380  Pitäjänmäen yritysalue (Helsinki)",2634,2741,2820,2814,2827
"00390  Konala (Helsinki)",2763,2876,2856,2866,2885
"00400  Pohjois-Haaga (Helsinki)",5800,5806,5802,5804,5808
"00410  Malminkartano (Helsinki)",4356,4382,4408,4653,4514
"00420  Kannelmäki (Helsinki)",7152,7150,7343,7363,7303
"00430  Maununneva - Kuninkaantammi (Helsinki)",1815,1958,1946,2092,2332
"00440  Lassila (Helsinki)",2679,2730,2726,2726,2729
"00500  Sörnäinen - Harju (Helsinki)",9671,9632,9592,9690,9712
"00510  Alppila - Vallila (Helsinki)",6896,6893,6879,6884,7076
"00520  Itä- ja Keski-Pasila (Helsinki)",4848,5041,5262,5467,5545
"00530  Kallio (Helsinki)",13633,13618,13583,13635,13645
"00540  Kalasatama - Sompasaari (Helsinki)",2441,2915,2959,3377,3620
"00550  Vallila - Hermanni (Helsinki)",6049,6236,6361,6425,6437
"00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)",7160,7161,7295,7428,7439
"00570  Kulosaari (Helsinki)",1602,1595,1613,1661,1673
"00580  Kalasatama - Kyläsaari (Helsinki)",3191,3766,4323,4482,5111
"00590  Kruunuvuorenranta (Helsinki)",1619,1987,2158,2393,2594
"00600  Koskela (Helsinki)",1669,2048,2140,2401,2415
"00610  Käpylä (Helsinki)",4307,4202,4236,4334,4331
"00620  Metsälä - Etelä-Oulunkylä (Helsinki)",1064,1070,1068,1061,1069
"00630  Maunula (Helsinki)",4269,4264,4285,4327,4366
"00640  Oulunkylä - Patola (Helsinki)",3818,3836,3858,3939,4075
"00650  Veräjämäki (Helsinki)",1595,1490,1705,2091,2156
"00660  Länsi-Pakila (Helsinki)",318,326,342,446,460
"00670  Paloheinä (Helsinki)",33,33,33,30,27
"00680  Itä-Pakila (Helsinki)",187,200,200,199,210
"00690  Torpparinmäki (Helsinki)",195,199,198,198,205
"00700  Malmi (Helsinki)",6298,6452,6523,6606,6629
"00710  Pihlajamäki - Viikinmäki (Helsinki)",6791,6912,7025,7066,7034
"00720  Pukinmäki (Helsinki)",4502,4501,4492,4539,4548
