"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 Households living in rented dwellings (TE)","2021 Households living in rented dwellings (TE)","2022 Households living in rented dwellings (TE)","2023 Households living in rented dwellings (TE)","2024 Households living in rented dwellings (TE)"
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)",5289,5157,5334,5527,5352
"00120  Punavuori - Bulevardi (Helsinki)",1840,1905,1937,1903,1887
"00130  Kaartinkaupunki (Helsinki)",460,465,461,455,441
"00140  Kaivopuisto - Ullanlinna (Helsinki)",2102,2082,2062,1992,1957
"00150  Punavuori - Eira - Hernesaari (Helsinki)",2799,2859,2830,2898,2899
"00160  Katajanokka (Helsinki)",1127,1152,1226,1256,1259
"00170  Kruununhaka (Helsinki)",1799,1829,1875,1872,1823
"00180  Kamppi - Ruoholahti (Helsinki)",4964,4895,4964,4876,4994
"00190  Suomenlinna (Helsinki)",263,247,249,228,235
"00200  Pohjois-Lauttasaari (Helsinki)",3626,3663,3751,3733,3724
"00210  Vattuniemi (Helsinki)",1431,1398,1471,1507,1540
"00220  Jätkäsaari (Helsinki)",3299,3854,4089,4303,4382
"00230  Helsinki postikeskus (Helsinki)",0,0,0,0,0
"00240  Länsi-Pasila (Helsinki)",1848,2282,2786,3166,3721
"00250  Taka-Töölö (Helsinki)",3571,3560,3667,3762,3725
"00260  Keski-Töölö (Helsinki)",1534,1563,1583,1600,1592
"00270  Pohjois-Meilahti (Helsinki)",2569,2575,2553,2529,2471
"00280  Ruskeasuo (Helsinki)",745,782,730,733,870
"00290  Meilahden sairaala-alue (Helsinki)",58,54,54,60,64
"00300  Pikku Huopalahti (Helsinki)",1851,1851,1832,1870,1891
"00310  Kivihaka (Helsinki)",254,232,184,182,250
"00320  Etelä-Haaga (Helsinki)",3329,3431,3502,3569,3627
"00330  Munkkiniemi (Helsinki)",2285,2206,2211,2218,2162
"00340  Kuusisaari - Lehtisaari (Helsinki)",176,176,185,223,226
"00350  Munkkivuori - Niemenmäki (Helsinki)",2867,3043,2998,3099,3229
"00360  Pajamäki (Helsinki)",508,507,514,512,510
"00370  Reimarla (Helsinki)",1758,1736,1808,1938,1916
"00380  Pitäjänmäen yritysalue (Helsinki)",1772,1812,1919,1892,1904
"00390  Konala (Helsinki)",1451,1544,1540,1534,1537
"00400  Pohjois-Haaga (Helsinki)",3256,3238,3226,3275,3149
"00410  Malminkartano (Helsinki)",2922,2971,3042,3063,3052
"00420  Kannelmäki (Helsinki)",4147,4138,4266,4349,4309
"00430  Maununneva - Kuninkaantammi (Helsinki)",1500,1481,1479,1519,1777
"00440  Lassila (Helsinki)",1254,1273,1313,1273,1264
"00500  Sörnäinen - Harju (Helsinki)",5438,5446,5557,5692,5726
"00510  Alppila - Vallila (Helsinki)",3663,3700,3777,3788,3731
"00520  Itä- ja Keski-Pasila (Helsinki)",2288,2355,2529,2573,2600
"00530  Kallio (Helsinki)",6799,6862,6949,6989,6839
"00540  Kalasatama - Sompasaari (Helsinki)",1484,1663,1719,1778,2039
"00550  Vallila - Hermanni (Helsinki)",3558,3873,3947,3907,3701
"00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)",4207,4285,4259,4092,4133
"00570  Kulosaari (Helsinki)",719,667,654,698,663
"00580  Kalasatama - Kyläsaari (Helsinki)",1765,2006,2630,2648,3074
