"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 One-person households (TE)","2021 One-person households (TE)","2022 One-person households (TE)","2023 One-person households (TE)","2024 One-person households (TE)"
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)",5379,5267,5447,5620,5546
"00120  Punavuori - Bulevardi (Helsinki)",2042,2042,2086,2065,2058
"00130  Kaartinkaupunki (Helsinki)",445,423,417,436,443
"00140  Kaivopuisto - Ullanlinna (Helsinki)",2263,2292,2289,2309,2306
"00150  Punavuori - Eira - Hernesaari (Helsinki)",3424,3432,3482,3556,3552
"00160  Katajanokka (Helsinki)",1058,1089,1138,1117,1131
"00170  Kruununhaka (Helsinki)",1964,1977,1972,1968,1996
"00180  Kamppi - Ruoholahti (Helsinki)",4178,4109,4134,4137,4204
"00190  Suomenlinna (Helsinki)",94,85,87,93,99
"00200  Pohjois-Lauttasaari (Helsinki)",4494,4476,4546,4564,4594
"00210  Vattuniemi (Helsinki)",2008,2008,2037,2027,2061
"00220  Jätkäsaari (Helsinki)",2046,2430,2570,2790,2845
"00230  Helsinki postikeskus (Helsinki)",0,0,0,0,0
"00240  Länsi-Pasila (Helsinki)",1484,1813,2250,2551,2882
"00250  Taka-Töölö (Helsinki)",3981,4000,4093,4200,4181
"00260  Keski-Töölö (Helsinki)",1742,1735,1784,1778,1798
"00270  Pohjois-Meilahti (Helsinki)",2607,2636,2668,2705,2676
"00280  Ruskeasuo (Helsinki)",898,914,905,893,974
"00290  Meilahden sairaala-alue (Helsinki)",60,60,60,58,62
"00300  Pikku Huopalahti (Helsinki)",1352,1382,1408,1448,1451
"00310  Kivihaka (Helsinki)",356,338,300,306,357
"00320  Etelä-Haaga (Helsinki)",4036,4203,4249,4334,4364
"00330  Munkkiniemi (Helsinki)",2547,2547,2543,2570,2569
"00340  Kuusisaari - Lehtisaari (Helsinki)",247,247,239,289,286
"00350  Munkkivuori - Niemenmäki (Helsinki)",3101,3189,3189,3274,3336
"00360  Pajamäki (Helsinki)",700,675,680,692,677
"00370  Reimarla (Helsinki)",1447,1487,1564,1622,1584
"00380  Pitäjänmäen yritysalue (Helsinki)",1288,1353,1441,1436,1462
"00390  Konala (Helsinki)",1656,1727,1725,1723,1714
"00400  Pohjois-Haaga (Helsinki)",3202,3186,3170,3220,3123
"00410  Malminkartano (Helsinki)",2057,2144,2180,2170,2154
"00420  Kannelmäki (Helsinki)",3939,3937,3975,4001,3980
"00430  Maununneva - Kuninkaantammi (Helsinki)",1098,1122,1192,1254,1377
"00440  Lassila (Helsinki)",1491,1506,1539,1515,1513
"00500  Sörnäinen - Harju (Helsinki)",6336,6194,6337,6412,6403
"00510  Alppila - Vallila (Helsinki)",4549,4506,4529,4578,4527
"00520  Itä- ja Keski-Pasila (Helsinki)",2350,2368,2468,2508,2509
"00530  Kallio (Helsinki)",8042,8055,8167,8152,8000
"00540  Kalasatama - Sompasaari (Helsinki)",997,1169,1247,1308,1483
"00550  Vallila - Hermanni (Helsinki)",3528,3778,3836,3802,3632
"00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)",3192,3287,3382,3348,3338
"00570  Kulosaari (Helsinki)",857,786,785,848,833
"00580  Kalasatama - Kyläsaari (Helsinki)",1404,1710,2147,2187,2540
"00590  Kruunuvuorenranta (Helsinki)",679,878,1018,1130,1157
"00600  Koskela (Helsinki)",976,1182,1217,1409,1308
"00610  Käpylä (Helsinki)",2196,2132,2157,2298,2314
"00620  Metsälä - Etelä-Oulunkylä (Helsinki)",686,672,663,675,674
"00630  Maunula (Helsinki)",2755,2709,2653,2712,2788
"00640  Oulunkylä - Patola (Helsinki)",2143,2169,2187,2252,2325
"00650  Veräjämäki (Helsinki)",779,772,894,1083,1157
"00660  Länsi-Pakila (Helsinki)",681,696,698,721,776
"00670  Paloheinä (Helsinki)",398,419,434,450,466
"00680  Itä-Pakila (Helsinki)",339,340,325,333,343
"00690  Torpparinmäki (Helsinki)",251,243,256,266,257
"00700  Malmi (Helsinki)",3680,3701,3724,3754,3734
"00710  Pihlajamäki - Viikinmäki (Helsinki)",3528,3595,3626,3693,3666
"00720  Pukinmäki (Helsinki)",2404,2376,2380,2416,2423
"00730  Tapanila (Helsinki)",1943,1967,2093,2197,2131
"00740  Siltamäki (Helsinki)",1557,1582,1643,1657,1645
"00750  Tapulikaupunki (Helsinki)",1803,1835,1802,1762,1721
"00760  Puistola - Heikinlaakso (Helsinki)",763,784,798,799,801
"00770  Jakomäki - Alppikylä (Helsinki)",1801,1791,1768,1792,1797
"00780  Tapaninvainio (Helsinki)",1148,1144,1164,1253,1274
"00790  Viikki (Helsinki)",2255,2257,2326,2320,2299
"00800  Länsi-Herttoniemi (Helsinki)",2501,2688,2641,2732,2728
"00810  Herttoniemenranta (Helsinki)",3071,3097,3115,3005,3042
"00820  Roihuvuori (Helsinki)",2488,2430,2376,2467,2470
"00830  Tammisalo (Helsinki)",243,238,238,246,260
"00840  Yliskylä (Helsinki)",2020,2133,2142,2122,2120
"00850  Jollas (Helsinki)",244,238,245,247,255
"00860  Santahamina (Helsinki)",55,59,67,59,59
"00870  Gunillanmäki - Hevossalmi (Helsinki)",1522,1542,1533,1538,1592
"00880  Keski-Herttoniemi - Roihupelto (Helsinki)",264,362,442,506,617
"00890  Östersundom (Helsinki)",116,113,110,114,107
"00900  Puotinharju (Helsinki)",1326,1319,1301,1245,1263
"00910  Puotila (Helsinki)",1872,1890,2031,2015,2089
"00920  Myllypuro (Helsinki)",2923,2985,3119,3215,3086
"00930  Itäkeskus - Marjaniemi (Helsinki)",1328,1329,1318,1464,1451
"00940  Kontula - Vesala - Kivikko (Helsinki)",6328,6407,6396,6422,6310
"00950  Vartioharju (Helsinki)",861,847,871,974,966
"00960  Pohjois-Vuosaari (Helsinki)",1984,1996,2026,2050,2058
"00970  Mellunmäki (Helsinki)",2921,3078,3144,3195,3096
"00980  Etelä-Vuosaari (Helsinki)",5469,5493,5506,5557,5582
"00990  Aurinkolahti (Helsinki)",2016,2085,2193,2411,2592
"01120  Västerskog (Sipoo)",150,152,148,145,150
"01150  Söderkulla (Sipoo)",1091,1160,1183,1334,1446
"01180  Kalkkiranta (Sipoo)",59,56,53,56,58
"01190  Box (Sipoo)",94,87,94,99,98
"01200  Hakunila (Vantaa)",2892,2960,3002,3146,3166
"01230  Vaarala (Vantaa)",463,488,495,495,524
"01260  Itä-Hakkila (Vantaa)",412,402,408,423,423
"01280  Länsimäki (Vantaa)",1956,1977,1964,1947,1928
"01300  Tikkurila (Vantaa)",6156,6759,7077,7311,7440
"01340  Leinelä (Vantaa)",686,733,801,784,743
"01350  Hiekkaharju (Vantaa)",2467,2485,2480,2495,2523
"01360  Koivukylä-Havukoski (Vantaa)",3209,3257,3336,3276,3199
"01370  Jokiniemi (Vantaa)",1796,1965,1971,1959,1882
"01380  Kuusikko-Hakkila (Vantaa)",145,148,164,159,163
"01390  Ruskeasanta-Ilola (Vantaa)",886,892,948,959,967
"01400  Rekola (Vantaa)",1626,1744,1893,1953,1975
"01420  Päiväkumpu (Vantaa)",181,173,180,185,189
"01450  Korso (Vantaa)",3470,3554,3567,3530,3536
"01480  Mikkola (Vantaa)",1311,1320,1320,1296,1283
"01490  Nikinmäki (Vantaa)",259,260,271,290,288
"01510  Kirkonkylä-Veromäki (Vantaa)",1319,1501,1795,1821,1856
"01520  Tammisto (Vantaa)",1264,1295,1306,1315,1324
"01530  Veromiehenkylä (Vantaa)",196,194,204,194,226
"01600  Myyrmäki (Vantaa)",5176,5300,5479,5831,5869
"01610  Kaivoksela (Vantaa)",1957,1934,1945,1937,1951
"01620  Martinlaakso (Vantaa)",3365,3465,3581,3653,3627
"01630  Hämeenkylä (Vantaa)",225,228,231,235,242
"01640  Hämevaara (Vantaa)",618,631,636,650,663
"01650  Vapaala (Vantaa)",744,730,744,743,730
"01660  Varisto (Vantaa)",328,327,332,353,353
"01670  Vantaanlaakso (Vantaa)",316,336,345,350,331
"01680  Askisto (Vantaa)",155,157,159,163,158
"01690  Ylästö (Vantaa)",236,237,266,276,283
