"13mu -- Prices per square meter of old dwellings in housing companies and numbers of transactions by postal code area, yearly, 2009-2025"

"Postal code","Price per square meter (EUR/m2) 2021 Blocks of flats, one-room flat","Price per square meter (EUR/m2) 2021 Blocks of flats, two-room flat","Price per square meter (EUR/m2) 2021 Blocks of flats, three-room flat+","Number of sales, asset transfer tax data starting from 2020 2021 Blocks of flats, one-room flat","Number of sales, asset transfer tax data starting from 2020 2021 Blocks of flats, two-room flat","Number of sales, asset transfer tax data starting from 2020 2021 Blocks of flats, three-room flat+"
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)",9002,8094,8090,160,259,250
"00120  Punavuori - Bulevardi (Helsinki)",9460,8683,8908,70,105,103
"00130  Kaartinkaupunki (Helsinki)",9303,9480,10024,14,22,21
"00140  Kaivopuisto - Ullanlinna (Helsinki)",9470,9311,9945,66,102,84
"00150  Punavuori - Eira - Hernesaari (Helsinki)",9175,8715,10318,144,120,79
"00160  Katajanokka (Helsinki)",8723,8112,8143,29,52,62
"00170  Kruununhaka (Helsinki)",8481,7965,7951,57,71,98
"00180  Kamppi - Ruoholahti (Helsinki)",9064,7877,7759,123,126,124
"00190  Suomenlinna (Helsinki)",.,.,.,.,.,.
"00200  Pohjois-Lauttasaari (Helsinki)",7809,6901,6973,95,206,189
"00210  Vattuniemi (Helsinki)",7457,6918,7087,39,105,110
"00220  Jätkäsaari (Helsinki)",...,8179,8198,7,21,53
"00240  Länsi-Pasila (Helsinki)",6575,5372,5616,18,46,35
"00250  Taka-Töölö (Helsinki)",7959,7117,7021,104,192,110
"00260  Keski-Töölö (Helsinki)",8331,7990,7497,45,61,57
"00270  Pohjois-Meilahti (Helsinki)",8030,6800,6286,35,105,71
"00280  Ruskeasuo (Helsinki)",6796,6692,6255,9,38,28
"00290  Meilahden sairaala-alue (Helsinki)",.,.,.,.,.,.
"00300  Pikku Huopalahti (Helsinki)",...,5631,5354,6,36,19
"00310  Kivihaka (Helsinki)",...,4921,4663,2,12,13
"00320  Etelä-Haaga (Helsinki)",6796,5681,5425,106,161,100
"00330  Munkkiniemi (Helsinki)",7280,6948,6726,32,70,117
"00340  Kuusisaari - Lehtisaari (Helsinki)",...,4483,4834,2,13,27
"00350  Munkkivuori - Niemenmäki (Helsinki)",6365,5426,5252,53,77,76
