"12f6 -- 8. Main type of activity, 2010-2024"

"Postal code area","2020 Unemployed (PT)","2021 Unemployed (PT)","2022 Unemployed (PT)","2023 Unemployed (PT)","2024 Unemployed (PT)"
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)",1083,723,630,693,834
"00120  Punavuori - Bulevardi (Helsinki)",460,310,254,282,332
"00130  Kaartinkaupunki (Helsinki)",81,49,47,49,76
"00140  Kaivopuisto - Ullanlinna (Helsinki)",465,297,275,314,318
"00150  Punavuori - Eira - Hernesaari (Helsinki)",682,465,407,470,502
"00160  Katajanokka (Helsinki)",269,191,178,203,210
"00170  Kruununhaka (Helsinki)",388,285,217,277,300
"00180  Kamppi - Ruoholahti (Helsinki)",1064,748,689,738,825
"00190  Suomenlinna (Helsinki)",53,34,33,28,38
"00200  Pohjois-Lauttasaari (Helsinki)",827,558,486,550,616
"00210  Vattuniemi (Helsinki)",398,256,239,289,331
"00220  Jätkäsaari (Helsinki)",486,421,439,566,577
"00230  Helsinki postikeskus (Helsinki)",0,0,0,0,0
"00240  Länsi-Pasila (Helsinki)",353,309,337,424,630
"00250  Taka-Töölö (Helsinki)",721,460,424,492,555
"00260  Keski-Töölö (Helsinki)",336,255,220,247,275
"00270  Pohjois-Meilahti (Helsinki)",487,379,323,320,372
"00280  Ruskeasuo (Helsinki)",180,117,127,137,195
"00290  Meilahden sairaala-alue (Helsinki)",8,5,4,8,7
"00300  Pikku Huopalahti (Helsinki)",427,313,282,302,365
"00310  Kivihaka (Helsinki)",64,54,42,44,52
"00320  Etelä-Haaga (Helsinki)",613,468,409,483,553
"00330  Munkkiniemi (Helsinki)",431,300,274,327,344
"00340  Kuusisaari - Lehtisaari (Helsinki)",77,67,60,61,83
"00350  Munkkivuori - Niemenmäki (Helsinki)",509,438,399,469,521
"00360  Pajamäki (Helsinki)",131,110,100,118,151
"00370  Reimarla (Helsinki)",425,325,319,402,458
"00380  Pitäjänmäen yritysalue (Helsinki)",381,328,319,359,378
"00390  Konala (Helsinki)",468,392,376,388,450
"00400  Pohjois-Haaga (Helsinki)",741,605,544,579,599
"00410  Malminkartano (Helsinki)",791,679,647,723,773
"00420  Kannelmäki (Helsinki)",1210,1010,934,1077,1139
"00430  Maununneva - Kuninkaantammi (Helsinki)",427,279,263,324,390
"00440  Lassila (Helsinki)",317,247,250,254,288
"00500  Sörnäinen - Harju (Helsinki)",1320,963,880,974,1036
"00510  Alppila - Vallila (Helsinki)",934,715,668,736,765
"00520  Itä- ja Keski-Pasila (Helsinki)",649,443,423,504,526
"00530  Kallio (Helsinki)",1673,1178,1102,1236,1344
"00540  Kalasatama - Sompasaari (Helsinki)",282,184,194,260,305
"00550  Vallila - Hermanni (Helsinki)",772,618,607,637,659
"00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)",802,531,537,527,626
"00570  Kulosaari (Helsinki)",198,155,117,160,181
"00580  Kalasatama - Kyläsaari (Helsinki)",252,208,255,304,365
"00590  Kruunuvuorenranta (Helsinki)",231,227,224,270,322
"00600  Koskela (Helsinki)",272,247,230,289,291
"00610  Käpylä (Helsinki)",582,387,381,442,489
"00620  Metsälä - Etelä-Oulunkylä (Helsinki)",168,145,127,116,131
"00630  Maunula (Helsinki)",752,553,494,553,652
"00640  Oulunkylä - Patola (Helsinki)",536,402,381,407,476
"00650  Veräjämäki (Helsinki)",270,212,197,243,251
"00660  Länsi-Pakila (Helsinki)",276,209,177,199,223
"00670  Paloheinä (Helsinki)",228,148,132,151,162
"00680  Itä-Pakila (Helsinki)",162,116,105,101,122
"00690  Torpparinmäki (Helsinki)",145,80,74,83,100
"00700  Malmi (Helsinki)",1260,1061,1022,1092,1252
"00710  Pihlajamäki - Viikinmäki (Helsinki)",1213,949,930,1065,1166
"00720  Pukinmäki (Helsinki)",725,570,503,567,636
"00730  Tapanila (Helsinki)",732,550,529,606,655
"00740  Siltamäki (Helsinki)",658,475,487,514,582
"00750  Tapulikaupunki (Helsinki)",814,685,620,673,711
"00760  Puistola - Heikinlaakso (Helsinki)",392,272,272,281,314
"00770  Jakomäki - Alppikylä (Helsinki)",787,673,581,694,762
"00780  Tapaninvainio (Helsinki)",390,291,269,304,335
"00790  Viikki (Helsinki)",616,490,462,510,557
"00800  Länsi-Herttoniemi (Helsinki)",636,523,508,580,656
"00810  Herttoniemenranta (Helsinki)",1036,769,766,781,876
"00820  Roihuvuori (Helsinki)",792,583,588,661,728
"00830  Tammisalo (Helsinki)",82,56,60,53,58
"00840  Yliskylä (Helsinki)",510,383,370,392,406
"00850  Jollas (Helsinki)",153,118,111,121,132
"00860  Santahamina (Helsinki)",7,6,6,5,7
"00870  Gunillanmäki - Hevossalmi (Helsinki)",541,426,413,436,543
"00880  Keski-Herttoniemi - Roihupelto (Helsinki)",55,56,55,90,117
"00890  Östersundom (Helsinki)",99,82,75,81,87
"00900  Puotinharju (Helsinki)",425,350,372,389,423
"00910  Puotila (Helsinki)",541,465,413,510,570
"00920  Myllypuro (Helsinki)",1027,805,811,833,935
"00930  Itäkeskus - Marjaniemi (Helsinki)",601,515,484,593,593
"00940  Kontula - Vesala - Kivikko (Helsinki)",2792,2444,2362,2570,2816
"00950  Vartioharju (Helsinki)",398,266,252,336,378
"00960  Pohjois-Vuosaari (Helsinki)",663,573,487,540,579
"00970  Mellunmäki (Helsinki)",1085,917,842,916,1010
"00980  Etelä-Vuosaari (Helsinki)",2309,1895,1912,2058,2169
"00990  Aurinkolahti (Helsinki)",574,465,449,565,658
"01120  Västerskog (Sipoo)",78,59,50,65,58
"01150  Söderkulla (Sipoo)",322,234,233,282,309
"01180  Kalkkiranta (Sipoo)",21,9,15,15,12
"01190  Box (Sipoo)",48,35,31,36,38
"01200  Hakunila (Vantaa)",1288,1198,1078,1203,1326
"01230  Vaarala (Vantaa)",221,159,127,145,175
"01260  Itä-Hakkila (Vantaa)",237,181,140,177,171
"01280  Länsimäki (Vantaa)",885,718,610,707,737
"01300  Tikkurila (Vantaa)",1661,1297,1192,1443,1630
"01340  Leinelä (Vantaa)",220,158,168,200,206
"01350  Hiekkaharju (Vantaa)",813,664,625,673,767
"01360  Koivukylä-Havukoski (Vantaa)",1175,1032,972,1182,1223
"01370  Jokiniemi (Vantaa)",592,494,469,504,586
"01380  Kuusikko-Hakkila (Vantaa)",86,78,65,53,73
"01390  Ruskeasanta-Ilola (Vantaa)",543,373,336,387,396
"01400  Rekola (Vantaa)",614,524,544,579,676
"01420  Päiväkumpu (Vantaa)",135,111,101,124,137
"01450  Korso (Vantaa)",1331,1159,1058,1176,1322
"01480  Mikkola (Vantaa)",539,501,424,470,542
"01490  Nikinmäki (Vantaa)",213,143,124,146,146
"01510  Kirkonkylä-Veromäki (Vantaa)",582,460,439,477,536
"01520  Tammisto (Vantaa)",526,341,278,307,374
"01530  Veromiehenkylä (Vantaa)",103,78,79,86,107
"01600  Myyrmäki (Vantaa)",1330,1173,1116,1346,1622
"01610  Kaivoksela (Vantaa)",465,403,375,442,477
"01620  Martinlaakso (Vantaa)",1089,915,800,974,1106
"01630  Hämeenkylä (Vantaa)",87,62,58,55,66
"01640  Hämevaara (Vantaa)",212,167,154,182,216
"01650  Vapaala (Vantaa)",253,214,180,191,210
"01660  Varisto (Vantaa)",153,133,114,118,124
"01670  Vantaanlaakso (Vantaa)",138,94,87,83,112
"01680  Askisto (Vantaa)",119,98,70,84,92
"01690  Ylästö (Vantaa)",228,125,113,137,142
"01700  Kivistö (Vantaa)",965,827,722,976,1123
"01710  Pähkinärinne (Vantaa)",435,388,333,342,414
"01720  Petikko (Vantaa)",6,8,6,8,3
"01730  Vantaanpuisto (Vantaa)",144,112,84,101,115
"01740  Tuupakan teollisuusalue (Vantaa)",13,9,13,7,8
"01750  Keimola (Vantaa)",44,30,23,28,29
"01760  Seutula (Vantaa)",104,77,81,69,75
"01770  Martinlaakson teollisuusalue (Vantaa)",0,0,0,0,0
"01800  Klaukkala Keskus (Nurmijärvi)",591,463,443,545,590
"01810  Luhtajoki (Nurmijärvi)",32,20,14,18,33
"01820  Haikala (Nurmijärvi)",177,112,123,118,116
"01830  Lepsämä (Nurmijärvi)",112,72,56,80,82
"01840  Klaukkala (Nurmijärvi)",192,127,111,118,119
"01860  Perttula (Nurmijärvi)",73,52,55,72,70
"01900  Nurmijärvi Keskus (Nurmijärvi)",485,333,340,388,438
