"12f5 -- 7. Workplace structure, 2010-2024"

"Postal code area","2020 Workplaces, total (TP)","2021 Workplaces, total (TP)","2022 Workplaces, total (TP)","2023 Workplaces, total (TP)","2024 Workplaces, total (TP)"
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)",49712,52491,55404,55646,0
"00120  Punavuori - Bulevardi (Helsinki)",7131,7638,8069,7583,0
"00130  Kaartinkaupunki (Helsinki)",11708,12894,13909,14081,0
"00140  Kaivopuisto - Ullanlinna (Helsinki)",1919,2354,2744,2569,0
"00150  Punavuori - Eira - Hernesaari (Helsinki)",4176,4665,4523,4406,0
"00160  Katajanokka (Helsinki)",3182,3335,3584,4148,0
"00170  Kruununhaka (Helsinki)",10117,10154,10155,10093,0
"00180  Kamppi - Ruoholahti (Helsinki)",23281,25639,26174,26704,0
"00190  Suomenlinna (Helsinki)",351,346,384,386,0
"00200  Pohjois-Lauttasaari (Helsinki)",2205,2181,2212,2240,0
"00210  Vattuniemi (Helsinki)",4121,4526,3886,3948,0
"00220  Jätkäsaari (Helsinki)",1593,1796,2094,2041,0
"00230  Helsinki postikeskus (Helsinki)",3176,3294,3522,3419,0
"00240  Länsi-Pasila (Helsinki)",14906,15097,14507,14692,0
"00250  Taka-Töölö (Helsinki)",7358,7311,6663,6851,0
"00260  Keski-Töölö (Helsinki)",6877,6794,6659,6158,0
"00270  Pohjois-Meilahti (Helsinki)",2219,2417,2545,2318,0
"00280  Ruskeasuo (Helsinki)",4583,4251,4106,4010,0
"00290  Meilahden sairaala-alue (Helsinki)",12033,12072,13154,14539,0
"00300  Pikku Huopalahti (Helsinki)",2745,3010,3044,3242,0
"00310  Kivihaka (Helsinki)",429,601,327,277,0
"00320  Etelä-Haaga (Helsinki)",1977,2049,2032,1962,0
"00330  Munkkiniemi (Helsinki)",2176,2253,2310,1856,0
"00340  Kuusisaari - Lehtisaari (Helsinki)",417,387,310,317,0
"00350  Munkkivuori - Niemenmäki (Helsinki)",1585,1697,1637,1552,0
"00360  Pajamäki (Helsinki)",74,72,72,79,0
"00370  Reimarla (Helsinki)",4106,4428,4721,5193,0
"00380  Pitäjänmäen yritysalue (Helsinki)",18114,18711,19296,19544,0
"00390  Konala (Helsinki)",5494,5584,5911,5531,0
"00400  Pohjois-Haaga (Helsinki)",2029,2202,2154,2290,0
"00410  Malminkartano (Helsinki)",1433,1608,1598,1686,0
"00420  Kannelmäki (Helsinki)",2274,2476,2486,2441,0
"00430  Maununneva - Kuninkaantammi (Helsinki)",730,850,884,921,0
"00440  Lassila (Helsinki)",4463,3073,3238,3071,0
"00500  Sörnäinen - Harju (Helsinki)",9466,9914,10087,10331,0
"00510  Alppila - Vallila (Helsinki)",17160,17023,18197,20368,0
"00520  Itä- ja Keski-Pasila (Helsinki)",18020,19112,19847,20586,0
"00530  Kallio (Helsinki)",14781,15508,16554,17639,0
"00540  Kalasatama - Sompasaari (Helsinki)",761,854,1032,838,0
"00550  Vallila - Hermanni (Helsinki)",1953,2162,2280,2092,0
"00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)",5673,5900,5471,5414,0
"00570  Kulosaari (Helsinki)",1202,1164,1337,1365,0
"00580  Kalasatama - Kyläsaari (Helsinki)",10815,13288,14702,13822,0
"00590  Kruunuvuorenranta (Helsinki)",122,161,180,258,0
"00600  Koskela (Helsinki)",1053,971,937,990,0
"00610  Käpylä (Helsinki)",2735,3143,2917,2569,0
"00620  Metsälä - Etelä-Oulunkylä (Helsinki)",6848,6900,7888,7719,0
"00630  Maunula (Helsinki)",1374,1288,1401,1347,0
"00640  Oulunkylä - Patola (Helsinki)",2056,1999,1882,1912,0
"00650  Veräjämäki (Helsinki)",364,330,327,381,0
"00660  Länsi-Pakila (Helsinki)",1082,988,1005,950,0
"00670  Paloheinä (Helsinki)",528,589,599,619,0
"00680  Itä-Pakila (Helsinki)",872,902,864,873,0
"00690  Torpparinmäki (Helsinki)",336,370,368,345,0
"00700  Malmi (Helsinki)",9792,9642,9764,9559,0
"00710  Pihlajamäki - Viikinmäki (Helsinki)",1168,1150,1124,1119,0
"00720  Pukinmäki (Helsinki)",1646,1701,1707,1629,0
"00730  Tapanila (Helsinki)",1141,1317,1291,1339,0
"00740  Siltamäki (Helsinki)",1206,1202,1287,1404,0
"00750  Tapulikaupunki (Helsinki)",2619,2535,2643,2695,0
"00760  Puistola - Heikinlaakso (Helsinki)",1399,1484,1458,1450,0
"00770  Jakomäki - Alppikylä (Helsinki)",2185,2335,2095,2064,0
"00780  Tapaninvainio (Helsinki)",633,631,661,687,0
"00790  Viikki (Helsinki)",4964,5126,5088,5190,0
"00800  Länsi-Herttoniemi (Helsinki)",915,882,845,779,0
"00810  Herttoniemenranta (Helsinki)",2929,3008,2858,2782,0
"00820  Roihuvuori (Helsinki)",1096,1144,1156,1183,0
"00830  Tammisalo (Helsinki)",151,181,121,110,0
"00840  Yliskylä (Helsinki)",866,934,921,873,0
"00850  Jollas (Helsinki)",252,251,282,277,0
"00860  Santahamina (Helsinki)",763,770,760,767,0
"00870  Gunillanmäki - Hevossalmi (Helsinki)",300,289,404,422,0
"00880  Keski-Herttoniemi - Roihupelto (Helsinki)",7358,7619,6844,6765,0
"00890  Östersundom (Helsinki)",414,408,502,486,0
"00900  Puotinharju (Helsinki)",1059,1107,1093,1062,0
"00910  Puotila (Helsinki)",640,643,688,759,0
"00920  Myllypuro (Helsinki)",2206,2151,2526,2901,0
"00930  Itäkeskus - Marjaniemi (Helsinki)",3279,3384,3588,3590,0
"00940  Kontula - Vesala - Kivikko (Helsinki)",3407,3437,3513,3616,0
"00950  Vartioharju (Helsinki)",1192,1133,1247,1306,0
"00960  Pohjois-Vuosaari (Helsinki)",326,359,438,422,0
"00970  Mellunmäki (Helsinki)",674,752,914,931,0
"00980  Etelä-Vuosaari (Helsinki)",4907,5226,5501,5645,0
"00990  Aurinkolahti (Helsinki)",917,1060,1115,1065,0
"01120  Västerskog (Sipoo)",183,187,214,200,0
"01150  Söderkulla (Sipoo)",1630,1690,1665,1600,0
"01180  Kalkkiranta (Sipoo)",49,56,56,67,0
"01190  Box (Sipoo)",142,143,138,149,0
"01200  Hakunila (Vantaa)",2607,2348,2717,2703,0
"01230  Vaarala (Vantaa)",1873,2244,2358,2187,0
"01260  Itä-Hakkila (Vantaa)",1823,1987,1970,1911,0
"01280  Länsimäki (Vantaa)",815,713,755,770,0
"01300  Tikkurila (Vantaa)",12552,12570,12785,12574,0
"01340  Leinelä (Vantaa)",137,118,128,138,0
"01350  Hiekkaharju (Vantaa)",1046,1063,1140,1077,0
"01360  Koivukylä-Havukoski (Vantaa)",1872,1945,2058,2088,0
"01370  Jokiniemi (Vantaa)",1558,1690,2107,2175,0
"01380  Kuusikko-Hakkila (Vantaa)",4729,5278,5547,5839,0
"01390  Ruskeasanta-Ilola (Vantaa)",967,1031,1035,982,0
"01400  Rekola (Vantaa)",2910,3072,2890,3053,0
"01420  Päiväkumpu (Vantaa)",319,318,319,348,0
"01450  Korso (Vantaa)",3063,3163,3358,3264,0
"01480  Mikkola (Vantaa)",879,974,1029,1042,0
"01490  Nikinmäki (Vantaa)",504,487,571,600,0
"01510  Kirkonkylä-Veromäki (Vantaa)",17200,18332,19181,18666,0
"01520  Tammisto (Vantaa)",748,787,769,819,0
"01530  Veromiehenkylä (Vantaa)",14993,16976,19174,19741,0
"01600  Myyrmäki (Vantaa)",4231,4271,5267,5526,0
"01610  Kaivoksela (Vantaa)",2784,3107,3231,3281,0
"01620  Martinlaakso (Vantaa)",5143,5133,5147,4850,0
"01630  Hämeenkylä (Vantaa)",244,278,346,373,0
"01640  Hämevaara (Vantaa)",1217,1477,1553,1432,0
"01650  Vapaala (Vantaa)",1579,1502,1415,1562,0
"01660  Varisto (Vantaa)",300,315,351,416,0
"01670  Vantaanlaakso (Vantaa)",1873,2006,2216,2151,0
"01680  Askisto (Vantaa)",224,263,263,273,0
"01690  Ylästö (Vantaa)",365,410,438,431,0
"01700  Kivistö (Vantaa)",982,1182,1157,1260,0
"01710  Pähkinärinne (Vantaa)",337,386,350,367,0
"01720  Petikko (Vantaa)",3526,3625,3688,3733,0
"01730  Vantaanpuisto (Vantaa)",2031,2457,3218,3372,0
"01740  Tuupakan teollisuusalue (Vantaa)",5069,6094,6043,6367,0
"01750  Keimola (Vantaa)",423,395,439,415,0
"01760  Seutula (Vantaa)",674,684,723,695,0
"01770  Martinlaakson teollisuusalue (Vantaa)",883,797,1481,1588,0
"01800  Klaukkala Keskus (Nurmijärvi)",2373,2427,2477,2512,0
"01810  Luhtajoki (Nurmijärvi)",112,130,139,145,0
"01820  Haikala (Nurmijärvi)",281,298,304,345,0
"01830  Lepsämä (Nurmijärvi)",293,292,294,301,0
"01840  Klaukkala (Nurmijärvi)",469,398,452,447,0
"01860  Perttula (Nurmijärvi)",218,231,232,248,0
"01900  Nurmijärvi Keskus (Nurmijärvi)",4214,4479,4346,4290,0
"01940  Palojoki (Nurmijärvi)",96,108,162,160,0
"02100  Tapiola (Espoo)",6594,7215,7614,7967,0
"02110  Otsolahti (Espoo)",174,171,621,624,0
"02120  Länsikorkee-Suvikumpu (Espoo)",179,185,185,226,0
"02130  Pohjois-Tapiola (Espoo)",3623,3747,3891,3927,0
"02140  Laajalahti (Espoo)",318,317,333,290,0
"02150  Otaniemi (Espoo)",22540,26232,27878,29423,0
"02160  Westend (Espoo)",545,596,647,608,0
"02170  Haukilahti (Espoo)",902,1014,1115,1030,0
"02180  Mankkaa (Espoo)",1748,1859,1916,1919,0
"02200  Niittykumpu (Espoo)",7300,6879,6786,7345,0
"02210  Olari (Espoo)",1714,1660,1665,1765,0
"02230  Matinkylä (Espoo)",4923,5497,6046,6347,0
"02240  Friisilä (Espoo)",1444,1539,1535,1398,0
"02250  Henttaa (Espoo)",413,473,534,633,0
"02260  Kaitaa (Espoo)",339,321,340,374,0
"02270  Finnoo-Eestinmalmi (Espoo)",2882,2902,2919,2856,0
"02280  Malminmäki-Eestinlaakso (Espoo)",312,344,360,370,0
"02300  Nöykkiönpuro (Espoo)",354,364,429,361,0
"02320  Espoonlahti (Espoo)",2037,2159,2423,2632,0
"02330  Saunalahti-Kattilalaakso (Espoo)",1907,1986,2018,2038,0
"02340  Latokaski (Espoo)",312,328,370,338,0
"02360  Soukka (Espoo)",1019,1031,994,1009,0
"02380  Suvisaaristo (Espoo)",61,53,45,47,0
"02390  Sarvvik (Kirkkonummi)",87,90,86,86,0
"02400  Kirkkonummi Keskus (Kirkkonummi)",3524,3555,3479,3495,0
"02410  Gesterby (Kirkkonummi)",65,40,43,47,0
"02420  Jorvas (Kirkkonummi)",1476,1456,1447,1335,0
"02430  Masala (Kirkkonummi)",1033,1177,1104,1071,0
"02440  Luoma (Kirkkonummi)",71,89,99,92,0
"02450  Sundsberg (Kirkkonummi)",151,162,173,155,0
"02460  Kantvik (Kirkkonummi)",409,400,421,429,0
"02470  Upinniemi (Kirkkonummi)",675,669,726,656,0
"02480  Porkkala (Kirkkonummi)",539,584,566,537,0
"02490  Pikkala (Siuntio)",398,448,469,470,0
"02510  Oitmäki (Kirkkonummi)",40,40,30,32,0
"02520  Lapinkylä (Kirkkonummi)",76,72,76,70,0
"02540  Kylmälä (Kirkkonummi)",105,101,103,137,0
"02550  Evitskog (Kirkkonummi)",80,75,62,62,0
"02570  Siuntio Kirkonkylä (Siuntio)",207,244,221,232,0
